"""ds"",""y"""
"""2001-01-01"",827.8048265"
"""2001-01-02"",825.9937102"
"""2001-01-03"",824.166635"
"""2001-01-04"",822.3232201"
"""2001-01-05"",820.4630712"
"""2001-01-06"",818.5857797"
"""2001-01-07"",816.6909221"
"""2001-01-08"",814.7780591"
"""2001-01-09"",812.8467349"
"""2001-01-10"",810.8964759"
"""2001-01-11"",808.9267901"
"""2001-01-12"",806.9371654"
"""2001-01-13"",804.9270691"
"""2001-01-14"",802.8959456"
"""2001-01-15"",800.8432158"
"""2001-01-16"",798.7682748"
"""2001-01-17"",796.6704906"
"""2001-01-18"",794.5492015"
"""2001-01-19"",792.4037142"
"""2001-01-20"",790.2333013"
"""2001-01-21"",788.0371984"
"""2001-01-22"",785.8146012"
"""2001-01-23"",783.564662"
"""2001-01-24"",781.2864856"
"""2001-01-25"",778.9791255"
"""2001-01-26"",776.6415785"
"""2001-01-27"",774.2727799"
"""2001-01-28"",771.8715971"
"""2001-01-29"",769.4368227"
"""2001-01-30"",766.9671672"
"""2001-01-31"",764.4612499"
"""2001-01-32"",761.9175895"
"""2001-01-33"",759.3345924"
"""2001-01-34"",756.7105409"
"""2001-01-35"",754.043578"
"""2001-01-36"",751.3316916"
"""2001-01-37"",748.5726953"
"""2001-01-38"",745.7642072"
"""2001-01-39"",742.903625"
"""2001-01-40"",739.9880972"
"""2001-01-41"",737.0144903"
"""2001-01-42"",733.9793495"
"""2001-01-43"",730.878854"
"""2001-01-44"",727.7087637"
"""2001-01-45"",724.4643558"
"""2001-01-46"",721.1403509"
"""2001-01-47"",717.7308224"
"""2001-01-48"",714.2290896"
"""2001-01-49"",710.6275861"
"""2001-01-50"",706.9176996"
"""2001-01-51"",703.0895742"
"""2001-01-52"",699.1318632"
"""2001-01-53"",695.0314187"
"""2001-01-54"",690.7728955"
"""2001-01-55"",686.3382419"
"""2001-01-56"",681.7060334"
"""2001-01-57"",676.8505925"
"""2001-01-58"",671.7408073"
"""2001-01-59"",666.3385179"
"""2001-01-60"",660.596283"
"""2001-01-61"",654.4542302"
"""2001-01-62"",647.8355474"
"""2001-01-63"",640.6399386"
"""2001-01-64"",632.734052"
"""2001-01-65"",623.9375655"
"""2001-01-66"",614.0037127"
"""2001-01-67"",602.5950997"
"""2001-01-68"",589.2636838"
"""2001-01-69"",573.4611221"
"""2001-01-70"",554.6046852"
"""2001-01-71"",532.1481895"
"""2001-01-72"",505.8951011"
"""2001-01-73"",477.359966"
"""2001-01-74"",449.4419001"
"""2001-01-75"",424.478001"
"""2001-01-76"",404.2511357"
"""2001-01-77"",388.2075331"
"""2001-01-78"",375.2455496"
"""2001-01-79"",364.5049605"
"""2001-01-80"",355.3968193"
"""2001-01-81"",347.5205834"
"""2001-01-82"",340.5982792"
"""2001-01-83"",334.432023"
"""2001-01-84"",328.8773462"
"""2001-01-85"",323.8262743"
"""2001-01-86"",319.1963732"
"""2001-01-87"",314.9234956"
"""2001-01-88"",310.9568664"
"""2001-01-89"",307.2556781"
"""2001-01-90"",303.7866853"
"""2001-01-91"",300.5224708"
"""2001-01-92"",297.4401746"
"""2001-01-93"",294.5205471"
"""2001-01-94"",291.7472335"
"""2001-01-95"",289.1062246"
"""2001-01-96"",286.5854318"
"""2001-01-97"",284.1743527"
"""2001-01-98"",281.8638064"
"""2001-01-99"",279.6457213"
"""2001-01-100"",277.5129635"
"""2001-01-101"",827.4622634"
"""2001-01-102"",825.6459383"
"""2001-01-103"",823.8135088"
"""2001-01-104"",821.9645883"
"""2001-01-105"",820.0987763"
"""2001-01-106"",818.2156576"
"""2001-01-107"",816.314802"
"""2001-01-108"",814.3957628"
"""2001-01-109"",812.4580765"
"""2001-01-110"",810.5012614"
"""2001-01-111"",808.5248167"
"""2001-01-112"",806.5282212"
"""2001-01-113"",804.5109323"
"""2001-01-114"",802.4723843"
"""2001-01-115"",800.4119866"
"""2001-01-116"",798.3291226"
"""2001-01-117"",796.2231475"
"""2001-01-118"",794.0933858"
"""2001-01-119"",791.9391298"
"""2001-01-120"",789.7596361"
"""2001-01-121"",787.5541233"
"""2001-01-122"",785.3217687"
"""2001-01-123"",783.0617045"
"""2001-01-124"",780.7730139"
"""2001-01-125"",778.4547267"
"""2001-01-126"",776.1058142"
"""2001-01-127"",773.7251835"
"""2001-01-128"",771.311671"
"""2001-01-129"",768.8640357"
"""2001-01-130"",766.3809507"
"""2001-01-131"",763.8609942"
"""2001-01-132"",761.3026392"
"""2001-01-133"",758.7042419"
"""2001-01-134"",756.064028"
"""2001-01-135"",753.3800778"
"""2001-01-136"",750.6503089"
"""2001-01-137"",747.872456"
"""2001-01-138"",745.0440481"
"""2001-01-139"",742.1623824"
"""2001-01-140"",739.2244935"
"""2001-01-141"",736.2271177"
"""2001-01-142"",733.1666519"
"""2001-01-143"",730.0391049"
"""2001-01-144"",726.8400399"
"""2001-01-145"",723.5645067"
"""2001-01-146"",720.2069604"
"""2001-01-147"",716.7611641"
"""2001-01-148"",713.2200713"
"""2001-01-149"",709.5756815"
"""2001-01-150"",705.8188645"
