ds,y
1901/1/1,827.8048265
1902/1/1,825.9937102
1903/1/1,824.166635
1904/1/1,822.3232201
1905/1/1,820.4630712
1906/1/1,818.5857797
1907/1/1,816.6909221
1908/1/1,814.7780591
1909/1/1,812.8467349
1910/1/1,810.8964759
1911/1/1,808.9267901
1912/1/1,806.9371654
1913/1/1,804.9270691
1914/1/1,802.8959456
1915/1/1,800.8432158
1916/1/1,798.7682748
1917/1/1,796.6704906
1918/1/1,794.5492015
1919/1/1,792.4037142
1920/1/1,790.2333013
1921/1/1,788.0371984
1922/1/1,785.8146012
1923/1/1,783.564662
1924/1/1,781.2864856
1925/1/1,778.9791255
1926/1/1,776.6415785
1927/1/1,774.2727799
1928/1/1,771.8715971
1929/1/1,769.4368227
1930/1/1,766.9671672
1931/1/1,764.4612499
1932/1/1,761.9175895
1933/1/1,759.3345924
1934/1/1,756.7105409
1935/1/1,754.043578
1936/1/1,751.3316916
1937/1/1,748.5726953
1938/1/1,745.7642072
1939/1/1,742.903625
1940/1/1,739.9880972
1941/1/1,737.0144903
1942/1/1,733.9793495
1943/1/1,730.878854
1944/1/1,727.7087637
1945/1/1,724.4643558
1946/1/1,721.1403509
1947/1/1,717.7308224
1948/1/1,714.2290896
1949/1/1,710.6275861
1950/1/1,706.9176996
1951/1/1,703.0895742
1952/1/1,699.1318632
1953/1/1,695.0314187
1954/1/1,690.7728955
1955/1/1,686.3382419
1956/1/1,681.7060334
1957/1/1,676.8505925
1958/1/1,671.7408073
1959/1/1,666.3385179
1960/1/1,660.596283
1961/1/1,654.4542302
1962/1/1,647.8355474
1963/1/1,640.6399386
1964/1/1,632.734052
1965/1/1,623.9375655
1966/1/1,614.0037127
1967/1/1,602.5950997
1968/1/1,589.2636838
1969/1/1,573.4611221
1970/1/1,554.6046852
1971/1/1,532.1481895
1972/1/1,505.8951011
1973/1/1,477.359966
1974/1/1,449.4419001
1975/1/1,424.478001
1976/1/1,404.2511357
1977/1/1,388.2075331
1978/1/1,375.2455496
1979/1/1,364.5049605
1980/1/1,355.3968193
1981/1/1,347.5205834
1982/1/1,340.5982792
1983/1/1,334.432023
1984/1/1,328.8773462
1985/1/1,323.8262743
1986/1/1,319.1963732
1987/1/1,314.9234956
1988/1/1,310.9568664
1989/1/1,307.2556781
1990/1/1,303.7866853
1991/1/1,300.5224708
1992/1/1,297.4401746
1993/1/1,294.5205471
1994/1/1,291.7472335
1995/1/1,289.1062246
1996/1/1,286.5854318
1997/1/1,284.1743527
1998/1/1,281.8638064
1999/1/1,279.6457213
2000/1/1,277.5129635
2001/1/1,827.4622634
2002/1/1,825.6459383
2003/1/1,823.8135088
2004/1/1,821.9645883
2005/1/1,820.0987763
2006/1/1,818.2156576
2007/1/1,816.314802
2008/1/1,814.3957628
2009/1/1,812.4580765
2010/1/1,810.5012614
2011/1/1,808.5248167
2012/1/1,806.5282212
2013/1/1,804.5109323
2014/1/1,802.4723843
2015/1/1,800.4119866
2016/1/1,798.3291226
2017/1/1,796.2231475
2018/1/1,794.0933858
2019/1/1,791.9391298
2020/1/1,789.7596361
2021/1/1,787.5541233
2022/1/1,785.3217687
2023/1/1,783.0617045
2024/1/1,780.7730139
2025/1/1,778.4547267
2026/1/1,776.1058142
2027/1/1,773.7251835
2028/1/1,771.311671
2029/1/1,768.8640357
2030/1/1,766.3809507
2031/1/1,763.8609942
2032/1/1,761.3026392
2033/1/1,758.7042419
2034/1/1,756.064028
2035/1/1,753.3800778
2036/1/1,750.6503089
2037/1/1,747.872456
2038/1/1,745.0440481
2039/1/1,742.1623824
2040/1/1,739.2244935
2041/1/1,736.2271177
2042/1/1,733.1666519
2043/1/1,730.0391049
2044/1/1,726.8400399
2045/1/1,723.5645067
2046/1/1,720.2069604
2047/1/1,716.7611641
2048/1/1,713.2200713
2049/1/1,709.5756815
2050/1/1,705.8188645
2051/1/1,701.9391402
2052/1/1,697.9244047
2053/1/1,693.7605815
2054/1/1,689.4311758
2055/1/1,684.9166956
2056/1/1,680.1938896
2057/1/1,675.2347308
2058/1/1,670.0050387
2059/1/1,664.462578
2060/1/1,658.554394
2061/1/1,652.2130055
2062/1/1,645.350876
2063/1/1,637.8522625
2064/1/1,629.5611157
2065/1/1,620.2632814
2066/1/1,609.6615929
2067/1/1,597.3461596
2068/1/1,582.7753738
2069/1/1,565.3050305
2070/1/1,544.2717992
2071/1/1,519.1047263
2072/1/1,490.2733565
2073/1/1,460.7139774
2074/1/1,433.2180236
2075/1/1,410.4908428
2076/1/1,392.6653538
2077/1/1,378.5106801
2078/1/1,366.9575966
2079/1/1,357.2774726
2080/1/1,348.9851462
2081/1/1,341.7510988
2082/1/1,335.3451992
2083/1/1,329.6021757
2084/1/1,324.4002231
2085/1/1,319.647451
2086/1/1,315.2730779
2087/1/1,311.2215657
2088/1/1,307.4486154
2089/1/1,303.9183734
2090/1/1,300.601441
2091/1/1,297.4734302
2092/1/1,294.5138962
2093/1/1,291.705538
2094/1/1,289.0335887
2095/1/1,286.4853466
2096/1/1,284.0498086
2097/1/1,281.7173813
2098/1/1,279.4796503
2099/1/1,277.3291953
2100/1/1,275.2594391
